,Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter
2786,Zeme,"Saldus pag., Saldus nov.",2024-12-16,1 170,1 170,1 170,,4 134,4,3.53,-,Privātmājām,,1/1,Kurzeme,Kurzeme,saldus nov,2024.0,4.0
2787,Zeme,"Rītupes iela 1, Spilve, Babītes pag., Mārupes nov.",2024-12-14,1 241,1 241,1 241,,47 700,38,38.44,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2788,Zeme,"Iecava, Bauskas nov.",2024-12-14,865,865,865,,3 000,3,3.47,-,Privātmājām,,1/1,Zemgale,Zemgale,bauskas nov,2024.0,4.0
2789,Zeme,"Pumpura iela 1A, Priekule, Dienvidkurzemes nov.",2024-12-14,9 340,9 340,9 340,,5 000,1,0.54,-,Privātmājām,,1/1,Kurzeme,Kurzeme,dienvidkurzemes nov,2024.0,4.0
2790,Zeme,"Cenu pag., Jelgavas nov.",2024-12-13,1 371,1 371,1 371,,8 800,6,6.42,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgavas nov,2024.0,4.0
2791,Zeme,"Vanagu iela 6, Ventspils",2024-12-13,1 317,1 317,1 317,,25 000,19,18.98,-,Privātmājām,,1/1,Kurzeme,Kurzeme,ventspils,2024.0,4.0
2792,Zeme,"Medzes pag., Dienvidkurzemes nov.",2024-12-13,734,734,734,,10 000,14,13.62,-,Privātmājām,,1/1,Kurzeme,Kurzeme,dienvidkurzemes nov,2024.0,4.0
2793,Zeme,"Dzelmes 4176, Jāņupe, Olaines pag., Olaines nov.",2024-12-13,578,578,578,,10 000,17,17.3,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2024.0,4.0
2794,Zeme,"Ziemeļu iela 4A, Gulbene, Gulbenes nov.",2024-12-13,783,783,783,,1 500,2,1.92,-,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2795,Zeme,"Plūmju iela 11, Ogresgals, Ogresgala pag., Ogres nov.",2024-12-13,3 886,3 886,3 886,,29 000,7,7.46,-,Privātmājām,,1/1,Pierīga,Pierīga,ogres nov,2024.0,4.0
2796,Zeme,"Vēju iela 1, Iecava, Bauskas nov.",2024-12-13,1 124,1 124,1 124,,8 500,8,7.56,-,Privātmājām,,1/1,Zemgale,Zemgale,bauskas nov,2024.0,4.0
2797,Zeme,"Margrētas iela 3, Meža Miers, Inčukalna pag., Siguldas nov.",2024-12-13,1 407,1 407,1 407,,4 000,3,2.84,-,Privātmājām,,1/1,Pierīga,Pierīga,siguldas nov,2024.0,4.0
2798,Zeme,"Cēres iela 71, Rīga",2024-12-13,556,556,556,,69 000,124,124.1,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2799,Zeme,"Ābeļu pag., Jēkabpils nov.",2024-12-13,4 700,4 700,4 700,,8 300,2,1.77,-,Privātmājām,,1/1,Zemgale,Zemgale,jēkabpils nov,2024.0,4.0
2800,Zeme,"Meža iela 10, Koknese, Aizkraukles nov.",2024-12-13,4 224,4 224,4 224,,4 000,1,0.95,-,Privātmājām,,1/1,Zemgale,Zemgale,aizkraukles nov,2024.0,4.0
2801,Zeme,"Meža iela 12, Koknese, Aizkraukles nov.",2024-12-13,8 849,8 849,8 849,,6 000,1,0.68,-,Privātmājām,,1/1,Zemgale,Zemgale,aizkraukles nov,2024.0,4.0
2802,Zeme,Rīga,2024-12-12,600,600,600,,48 900,82,81.5,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2803,Zeme,"Strautu iela 3, Daugavpils",2024-12-12,1 036,1 036,1 036,,15 000,14,14.48,-,Privātmājām,,1/1,Latgale,Latgale,daugavpils,2024.0,4.0
2804,Zeme,"5. līnija 30, Jelgava",2024-12-12,22 135,22 135,22 135,,22 000,1,0.99,9 939,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2024.0,4.0
2805,Zeme,"Nīcas iela 4, Piņķi, Babītes pag., Mārupes nov.",2024-12-12,965,965,965,,49 000,51,50.78,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2806,Zeme,"Priežu iela 3, Rēzekne",2024-12-12,695,1 389,695,,5 000,7,7.2,-,Privātmājām,,1/2,Latgale,Latgale,rēzekne,2024.0,4.0
2807,Zeme,"Cimzes iela 3A, Valka, Valkas nov.",2024-12-12,870,870,870,,4 500,5,5.17,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valkas nov,2024.0,4.0
2808,Zeme,"Ozona iela 27, Gauja, Carnikavas pag., Ādažu nov.",2024-12-12,1 024,1 024,1 024,,45 000,44,43.95,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2024.0,4.0
2809,Zeme,"Ziedleju iela 11, Carnikava, Carnikavas pag., Ādažu nov.",2024-12-12,1 482,1 482,1 482,,46 950,32,31.68,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2024.0,4.0
2810,Zeme,"Piparmētru iela 2, Jelgava",2024-12-12,1 009,1 009,1 009,,14 950,15,14.82,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2024.0,4.0
2811,Zeme,"Goda iela 5, Rāmava, Ķekavas pag., Ķekavas nov.",2024-12-12,1 153,1 153,1 153,,21 331,19,18.5,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2024.0,4.0
2812,Zeme,"Goda iela 7, Rāmava, Ķekavas pag., Ķekavas nov.",2024-12-12,1 153,1 153,1 153,,21 331,19,18.5,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2024.0,4.0
2813,Zeme,"Goda iela 9, Rāmava, Ķekavas pag., Ķekavas nov.",2024-12-12,1 152,1 152,1 152,,21 312,19,18.5,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2024.0,4.0
2814,Zeme,"Goda iela 11, Rāmava, Ķekavas pag., Ķekavas nov.",2024-12-12,1 152,1 152,1 152,,21 312,19,18.5,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2024.0,4.0
2815,Zeme,"Goda iela 3, Rāmava, Ķekavas pag., Ķekavas nov.",2024-12-12,1 168,1 168,1 168,,21 608,19,18.5,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2024.0,4.0
2816,Zeme,"Goda iela 13, Rāmava, Ķekavas pag., Ķekavas nov.",2024-12-12,1 152,1 152,1 152,,21 312,19,18.5,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2024.0,4.0
2817,Zeme,"Baltās kāpas iela 10, Jūrmala",2024-12-12,727,4 191,727,,10 500,14,14.44,-,Privātmājām,,727/4191,Pierīga,Pierīga,jūrmala,2024.0,4.0
2818,Zeme,"Oļu iela 4, Garkalne, Garkalnes pag., Ropažu nov.",2024-12-12,1 558,1 558,1 558,,19 100,12,12.26,-,Privātmājām,,1/1,Pierīga,Pierīga,ropažu nov,2024.0,4.0
2819,Zeme,"Ābeļu iela 8, Oškalni, Cieceres pag., Saldus nov.",2024-12-12,1 389,1 389,1 389,,6 300,5,4.54,-,Privātmājām,,1/1,Kurzeme,Kurzeme,saldus nov,2024.0,4.0
2820,Zeme,"Valdemārpils, Talsu nov.",2024-12-11,4 054,4 054,4 054,,11 500,3,2.84,-,Privātmājām,,1/1,Kurzeme,Kurzeme,talsu nov,2024.0,4.0
2821,Zeme,"Mežmala 63, Salaspils pag., Salaspils nov.",2024-12-11,542,542,542,,9 000,17,16.61,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2024.0,4.0
2822,Zeme,"Mazā Juglas iela 41, Rīga",2024-12-11,3 061,3 061,3 061,,117 000,38,38.22,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2823,Zeme,"Mazā Juglas iela 41A, Rīga",2024-12-11,3 113,3 113,3 113,,119 000,38,38.23,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2824,Zeme,"Mazā Juglas iela 41B, Rīga",2024-12-11,5 910,5 910,5 910,,225 000,38,38.07,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2825,Zeme,"Kamēliju iela 8, Ogre, Ogres nov.",2024-12-11,660,660,660,,25 000,38,37.88,-,Privātmājām,,1/1,Pierīga,Pierīga,ogres nov,2024.0,4.0
2826,Zeme,"Stērstu iela 35B, Rīga",2024-12-11,957,957,957,,16 478,17,17.22,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2827,Zeme,"Kupravas iela 14, Rīga",2024-12-11,614,614,614,,30 000,49,48.86,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2828,Zeme,"Misa Nr. 59, Baldones pag., Ķekavas nov.",2024-12-11,620,620,620,,1 500,2,2.42,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2024.0,4.0
2829,Zeme,"Skolas iela 14, Ragana, Krimuldas pag., Siguldas nov.",2024-12-11,1 693,1 693,1 693,,19 000,11,11.22,-,Privātmājām,,1/1,Pierīga,Pierīga,siguldas nov,2024.0,4.0
2830,Zeme,"Ogre, Ogres nov.",2024-12-11,653,653,653,,3 600,6,5.51,-,Privātmājām,,1/1,Pierīga,Pierīga,ogres nov,2024.0,4.0
2831,Zeme,"Paleju iela 31, Mārupe, Mārupes nov.",2024-12-11,1 402,1 402,1 402,,70 000,50,49.93,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2832,Zeme,"Paleju iela 46, Mārupe, Mārupes nov.",2024-12-11,1 310,1 310,1 310,,31 800,24,24.27,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2833,Zeme,"Varoņu iela 4A, Valka, Valkas nov.",2024-12-11,479,479,479,,1 000,2,2.09,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valkas nov,2024.0,4.0
2834,Zeme,"Slāpeskrogs, Sarkaņu pag., Madonas nov.",2024-12-11,2 900,2 900,2 900,,2 000,1,0.69,-,Privātmājām,,1/1,Latgale,Latgale,madonas nov,2024.0,4.0
2835,Zeme,"Cenu pag., Jelgavas nov.",2024-12-11,1 997,1 997,1 997,,10 000,5,5.01,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgavas nov,2024.0,4.0
2836,Zeme,"Ausekļa iela 21, Cēsis, Cēsu nov.",2024-12-10,2 839,2 839,2 839,,11 500,4,4.05,-,Privātmājām,,1/1,Vidzeme,Vidzeme,cēsu nov,2024.0,4.0
2837,Zeme,"Cīruļu iela 16, Ventspils",2024-12-10,1 558,1 558,1 558,,15 000,10,9.63,-,Privātmājām,,1/1,Kurzeme,Kurzeme,ventspils,2024.0,4.0
2838,Zeme,"Rītupes iela 9, Grēnes, Olaines pag., Olaines nov.",2024-12-10,814,814,814,,22 385,28,27.5,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2024.0,4.0
2839,Zeme,"Zaļenieku iela 1, Garupe, Carnikavas pag., Ādažu nov.",2024-12-10,1 708,1 708,1 708,,64 000,37,37.47,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2024.0,4.0
2840,Zeme,"Saulesciems 45, Jaunsaurieši, Salaspils pag., Salaspils nov.",2024-12-10,1 405,1 405,1 405,,8 000,6,5.69,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2024.0,4.0
2841,Zeme,"Zirgu iela 10, Mežezeri, Salaspils pag., Salaspils nov.",2024-12-10,605,1 209,605,,6 490,11,10.74,-,Privātmājām,,1/2,Pierīga,Pierīga,salaspils nov,2024.0,4.0
2842,Zeme,"Kāpas iela 24, Kadaga, Ādažu pag., Ādažu nov.",2024-12-10,3 533,3 533,3 533,,47 000,13,13.3,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2024.0,4.0
2843,Zeme,"Meženieku iela 1, Zaķumuiža, Ropažu pag., Ropažu nov.",2024-12-10,4 206,4 206,4 206,,23 000,5,5.47,-,Privātmājām,,1/1,Pierīga,Pierīga,ropažu nov,2024.0,4.0
2844,Zeme,"Jaunmuižas iela 11, Jaunmuiža, Skrundas pag., Kuldīgas nov.",2024-12-10,1 940,1 940,1 940,,1 600,1,0.82,-,Privātmājām,,1/1,Kurzeme,Kurzeme,kuldīgas nov,2024.0,4.0
2845,Zeme,"Rumbas pag., Kuldīgas nov.",2024-12-10,2 000,2 000,2 000,,5 880,3,2.94,-,Privātmājām,,1/1,Kurzeme,Kurzeme,kuldīgas nov,2024.0,4.0
2846,Zeme,"Ceriņu iela 6, Stūnīši, Olaines pag., Olaines nov.",2024-12-10,1 033,1 033,1 033,,10 000,10,9.68,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2024.0,4.0
2847,Zeme,"Lielā iela 17B, Skrunda, Kuldīgas nov.",2024-12-10,1 660,1 660,1 660,,3 500,2,2.11,-,Privātmājām,,1/1,Kurzeme,Kurzeme,kuldīgas nov,2024.0,4.0
2848,Zeme,"Palu iela 10, Sēbruciems, Babītes pag., Mārupes nov.",2024-12-10,1 776,1 776,1 776,,35 520,20,20.0,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2849,Zeme,"Medņu iela 85, Jūrmala",2024-12-10,2 351,7 053,2 351,,49 367,21,21.0,-,Privātmājām,,1/3,Pierīga,Pierīga,jūrmala,2024.0,4.0
2850,Zeme,"Rīgas iela 49B, Rēzekne",2024-12-09,713,713,713,,2 500,4,3.51,-,Privātmājām,,1/1,Latgale,Latgale,rēzekne,2024.0,4.0
2851,Zeme,"Juglas iela 18L, Rīga",2024-12-09,392,392,392,,6 000,15,15.31,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2852,Zeme,"Līvānu iela 3B, Daugavpils",2024-12-09,432,432,432,,2 709,6,6.27,-,Privātmājām,,1/1,Latgale,Latgale,daugavpils,2024.0,4.0
2853,Zeme,"Rojas iela 6, Piņķi, Babītes pag., Mārupes nov.",2024-12-09,688,1 672,688,,49 000,71,71.22,-,Privātmājām,,86/209,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2854,Zeme,"Rīgas iela 81A, Varakļāni, Varakļānu nov.",2024-12-09,434,434,434,,1 530,4,3.53,-,Privātmājām,,1/1,Latgale,Latgale,varakļānu nov,2024.0,4.0
2855,Zeme,"Induļa iela 6, Jelgava",2024-12-09,1 012,1 012,1 012,,14 024,14,13.86,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2024.0,4.0
2856,Zeme,"Diānas iela 8, Mežezeri, Salaspils pag., Salaspils nov.",2024-12-09,1 225,1 225,1 225,,7 200,6,5.88,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2024.0,4.0
2857,Zeme,"Mencu iela 11, Garupe, Carnikavas pag., Ādažu nov.",2024-12-09,1 500,1 500,1 500,,46 036,31,30.69,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2024.0,4.0
2858,Zeme,"Sporta iela 39, Skrīveri, Skrīveru pag., Aizkraukles nov.",2024-12-09,4 458,4 458,4 458,,35 000,8,7.85,-,Privātmājām,,1/1,Zemgale,Zemgale,aizkraukles nov,2024.0,4.0
2859,Zeme,"Alksnieši 6, Salaspils pag., Salaspils nov.",2024-12-09,1 513,1 513,1 513,,22 500,15,14.87,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2024.0,4.0
2860,Zeme,"Valkas pag., Valkas nov.",2024-12-09,735,735,735,,2 155,3,2.93,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valkas nov,2024.0,4.0
2861,Zeme,"Vizbule 53, Jāņupe, Olaines pag., Olaines nov.",2024-12-09,649,649,649,,2 360,4,3.64,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2024.0,4.0
2862,Zeme,"Ezermalas iela 61, Alūksne, Alūksnes nov.",2024-12-09,8 036,16 071,8 036,,7 500,1,0.93,-,Privātmājām,,1/2,Vidzeme,Vidzeme,alūksnes nov,2024.0,4.0
2863,Zeme,"Valkas pag., Valkas nov.",2024-12-09,821,821,821,,2 125,3,2.59,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valkas nov,2024.0,4.0
2864,Zeme,"Sūnu iela 4, Jūrmala",2024-12-09,944,1 888,944,,95 000,101,100.64,-,Privātmājām,,1/2,Pierīga,Pierīga,jūrmala,2024.0,4.0
2865,Zeme,"Mednieku iela 54, Jelgava",2024-12-09,1 813,1 813,1 813,,5 500,3,3.03,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2024.0,4.0
2866,Zeme,"Miera iela 12, Ādaži, Ādažu nov.",2024-12-07,1 292,1 292,1 292,,45 000,35,34.83,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2024.0,4.0
2867,Zeme,"Aplausu iela 8, Medemciems, Olaines pag., Olaines nov.",2024-12-06,606,606,606,,6 000,10,9.9,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2024.0,4.0
2868,Zeme,"Dārza iela 2B, Dagda, Krāslavas nov.",2024-12-06,1 482,1 482,1 482,,2 000,1,1.35,-,Privātmājām,,1/1,Latgale,Latgale,krāslavas nov,2024.0,4.0
2869,Zeme,"Sauliešu iela 29, Tīraine, Mārupes pag., Mārupes nov.",2024-12-06,1 376,1 376,1 376,,80 000,58,58.14,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2870,Zeme,"Sauliešu iela 27, Tīraine, Mārupes pag., Mārupes nov.",2024-12-06,1 387,1 387,1 387,,80 000,58,57.68,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2871,Zeme,"Kāpu iela 4, Piņķi, Babītes pag., Mārupes nov.",2024-12-06,957,957,957,,67 000,70,70.01,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2872,Zeme,"Lielupes iela 6, Piņķi, Babītes pag., Mārupes nov.",2024-12-06,915,915,915,,66 000,72,72.13,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2873,Zeme,"Induļa iela 4, Jelgava",2024-12-06,1 041,1 041,1 041,,20 820,20,20.0,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2024.0,4.0
2874,Zeme,"Īsais ceļš 5, Salaspils pag., Salaspils nov.",2024-12-06,1 367,1 367,1 367,,30 000,22,21.95,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2024.0,4.0
2875,Zeme,"Induļa iela 14, Jelgava",2024-12-06,1 087,1 087,1 087,,6 740,6,6.2,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2024.0,4.0
2876,Zeme,"Induļa iela 12, Jelgava",2024-12-06,1 048,1 048,1 048,,5 960,6,5.69,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2024.0,4.0
2877,Zeme,"Kāpu iela 3, Piņķi, Babītes pag., Mārupes nov.",2024-12-06,957,957,957,,67 000,70,70.01,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2878,Zeme,"Lapu iela 9C, Rēzekne",2024-12-06,4 158,4 158,4 158,,12 500,3,3.01,-,Privātmājām,,1/1,Latgale,Latgale,rēzekne,2024.0,4.0
2879,Zeme,"Induļa iela 18, Jelgava",2024-12-06,1 053,1 053,1 053,,6 060,6,5.75,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2024.0,4.0
2880,Zeme,"Krēsliņu iela 20, Mārupe, Mārupes nov.",2024-12-06,1 471,1 471,1 471,,95 000,65,64.58,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2881,Zeme,"Trīsdesmit piektā iela 35, Šķēde, Medzes pag., Dienvidkurzemes nov.",2024-12-06,619,619,619,,2 800,5,4.52,-,Privātmājām,,1/1,Kurzeme,Kurzeme,dienvidkurzemes nov,2024.0,4.0
2882,Zeme,"Jāņupietis 23, Jāņupe, Olaines pag., Olaines nov.",2024-12-06,873,873,873,,4 300,5,4.93,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2024.0,4.0
2883,Zeme,"Remeiķu Jaunozoli, Saulesdārzs, Tīnūžu pag., Ogres nov.",2024-12-06,2 400,2 400,2 400,,7 200,3,3.0,-,Privātmājām,,1/1,Pierīga,Pierīga,ogres nov,2024.0,4.0
2884,Zeme,"Medņu iela 100A, Jūrmala",2024-12-05,3 035,3 035,3 035,,42 000,14,13.84,-,Privātmājām,,1/1,Pierīga,Pierīga,jūrmala,2024.0,4.0
2885,Zeme,"Kalkūnes pag., Augšdaugavas nov.",2024-12-05,813,813,813,,1 000,1,1.23,-,Privātmājām,,1/1,Latgale,Latgale,augšdaugavas nov,2024.0,4.0
2886,Zeme,"Lielstapriņu iela 16, Stapriņi, Ādažu pag., Ādažu nov.",2024-12-05,3 529,3 529,3 529,,65 000,18,18.42,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2024.0,4.0
2887,Zeme,"Vējupes iela 13, Ādaži, Ādažu nov.",2024-12-05,1 679,1 679,1 679,,10 000,6,5.96,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2024.0,4.0
2888,Zeme,"Samtenes iela 7, Stūnīši, Olaines pag., Olaines nov.",2024-12-05,1 621,1 621,1 621,,18 400,11,11.35,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2024.0,4.0
2889,Zeme,"Olaines pag., Olaines nov.",2024-12-05,643,643,643,,6 000,9,9.33,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2024.0,4.0
2890,Zeme,"Stacijas iela 13, Olaine, Olaines nov.",2024-12-05,2 205,2 205,2 205,,22 200,10,10.07,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2024.0,4.0
2891,Zeme,"Cērtenes iela 1A, Smiltene, Smiltenes nov.",2024-12-04,1 653,1 653,1 653,,7 700,5,4.66,-,Privātmājām,,1/1,Vidzeme,Vidzeme,smiltenes nov,2024.0,4.0
2892,Zeme,"Aplokciema iela 9C, Rīga",2024-12-04,1 672,1 672,1 672,,63 536,38,38.0,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2893,Zeme,"Kūku pag., Jēkabpils nov.",2024-12-04,14 600,14 600,14 600,,5 500,0,0.38,3 767,Privātmājām,,1/1,Zemgale,Zemgale,jēkabpils nov,2024.0,4.0
2894,Zeme,"Vecupes iela 20, Bukulti, Garkalnes pag., Ropažu nov.",2024-12-04,1 080,1 080,1 080,,5 000,5,4.63,-,Privātmājām,,1/1,Pierīga,Pierīga,ropažu nov,2024.0,4.0
2895,Zeme,"Brūkleņu iela 3, Valmiera, Valmieras nov.",2024-12-04,1 478,1 478,1 478,,10 000,7,6.77,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valmieras nov,2024.0,4.0
2896,Zeme,Rīga,2024-12-04,131,131,131,,4 427,34,33.79,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2024.0,4.0
2897,Zeme,"Eglaines iela 28, Jūrmala",2024-12-04,1 177,1 177,1 177,,35 000,30,29.74,-,Privātmājām,,1/1,Pierīga,Pierīga,jūrmala,2024.0,4.0
2898,Zeme,"Sakas pag., Dienvidkurzemes nov.",2024-12-04,20 131,20 131,20 131,,12 500,1,0.62,6 209,Privātmājām,,1/1,Kurzeme,Kurzeme,dienvidkurzemes nov,2024.0,4.0
2899,Zeme,"Induļa iela 16, Jelgava",2024-12-04,1 287,1 287,1 287,,25 740,20,20.0,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2024.0,4.0
2900,Zeme,"Circeņu iela 13, Mārupe, Mārupes nov.",2024-12-04,1 559,1 559,1 559,,50 000,32,32.07,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2024.0,4.0
2901,Zeme,"Upmalas iela 49, Jenči, Ķekavas pag., Ķekavas nov.",2024-12-04,630,630,630,,10 200,16,16.19,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2024.0,4.0
2902,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,91 000,91 000,91 000,,31 600,0,0.35,3 473,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2903,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,66 400,66 400,66 400,,8 530,0,0.13,1 285,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2904,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,50 100,50 100,50 100,,6 600,0,0.13,1 317,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2905,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,51 400,51 400,51 400,,6 829,0,0.13,1 329,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2906,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,54 600,54 600,54 600,,10 600,0,0.19,1 941,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2907,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,62 800,62 800,62 800,,6 659,0,0.11,1 060,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2908,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,57 000,57 000,57 000,,6 600,0,0.12,1 158,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2909,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,56 100,56 100,56 100,,9 600,0,0.17,1 711,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2910,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,53 200,53 200,53 200,,6 600,0,0.12,1 241,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2911,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,40 300,40 300,40 300,,6 700,0,0.17,1 663,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2912,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,57 000,57 000,57 000,,8 157,0,0.14,1 431,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2913,Zeme,"Krasta iela 3, Sigulda, Siguldas nov.",2024-12-04,620,620,620,,5 295,9,8.54,-,Privātmājām,,1/1,Pierīga,Pierīga,siguldas nov,2024.0,4.0
2914,Zeme,"Stāmerienas pag., Gulbenes nov.",2024-12-04,73 500,73 500,73 500,,11 600,0,0.16,1 578,Privātmājām,,1/1,Vidzeme,Vidzeme,gulbenes nov,2024.0,4.0
2915,Zeme,"Kļaviņas, Skrundas pag., Kuldīgas nov.",2024-12-04,2 758,2 758,2 758,,1 200,0,0.44,-,Privātmājām,,1/1,Kurzeme,Kurzeme,kuldīgas nov,2024.0,4.0
2916,Zeme,"Planderu iela 13, Salaspils, Salaspils nov.",2024-12-04,1 225,1 225,1 225,,30 000,24,24.49,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2024.0,4.0
2917,Zeme,"Malvu iela 11, Ogre, Ogres nov.",2024-12-04,615,615,615,,10 000,16,16.26,-,Privātmājām,,1/1,Pierīga,Pierīga,ogres nov,2024.0,4.0
2918,Zeme,"Jelgavas iela 23, Preiļi, Preiļu nov.",2024-12-04,1 415,1 415,1 415,,2 500,2,1.77,-,Privātmājām,,1/1,Latgale,Latgale,preiļu nov,2024.0,4.0
