,Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter
176,Zeme,"Seleksa iela 10, Sigulda, Siguldas nov.",2025-09-05,1 210,1 210,1 210,,10 000,8,8.26,-,Privātmājām,,1/1,Pierīga,Pierīga,siguldas nov,2025.0,3.0
177,Zeme,"Deviņpadsmitā iela 4C, Šķēde, Medzes pag., Dienvidkurzemes nov.",2025-09-04,692,692,692,,1 750,3,2.53,-,Privātmājām,,1/1,Kurzeme,Kurzeme,dienvidkurzemes nov,2025.0,3.0
178,Zeme,"Rīgas iela 155, Līvāni, Līvānu nov.",2025-09-04,1 125,1 125,1 125,,1 200,1,1.07,-,Privātmājām,,1/1,Latgale,Latgale,līvānu nov,2025.0,3.0
179,Zeme,"Liepkalnes 1 116, Jāņupe, Olaines pag., Olaines nov.",2025-09-04,579,579,579,,11 000,19,19.0,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2025.0,3.0
180,Zeme,"Olaines pag., Olaines nov.",2025-09-04,579,579,579,,11 000,19,19.0,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2025.0,3.0
181,Zeme,"Laimas iela 12, Pulkarne, Ķekavas pag., Ķekavas nov.",2025-09-04,1 497,1 497,1 497,,20 000,13,13.36,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2025.0,3.0
182,Zeme,"Nīcas pag., Dienvidkurzemes nov.",2025-09-04,3 700,3 700,3 700,,35 000,9,9.46,-,Privātmājām,,1/1,Kurzeme,Kurzeme,dienvidkurzemes nov,2025.0,3.0
183,Zeme,"Briežu iela 2, Lapsas, Babītes pag., Mārupes nov.",2025-09-04,1 269,1 269,1 269,,10 000,8,7.88,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2025.0,3.0
184,Zeme,Rīga,2025-09-04,90,461,90,,1 080,12,12.0,-,Privātmājām,,90/461,Rīga,Rīga,rīga,2025.0,3.0
185,Zeme,Rīga,2025-09-04,91,461,91,,1 092,12,12.0,-,Privātmājām,,91/461,Rīga,Rīga,rīga,2025.0,3.0
186,Zeme,"Jāņparka iela 14, Valmiera, Valmieras nov.",2025-09-04,1 673,1 673,1 673,,40 000,24,23.91,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valmieras nov,2025.0,3.0
187,Zeme,"Annas, Kalnsētas, Cieceres pag., Saldus nov.",2025-09-04,2 420,2 420,2 420,,3 000,1,1.24,-,Privātmājām,,1/1,Kurzeme,Kurzeme,saldus nov,2025.0,3.0
