Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter,Month
Zeme,"Dārziņš 71, Stučeva, Vērēmu pag., Rēzeknes nov.",2025-10-07,619,619,619,,3 500,6,5.65,-,Privātmājām,,1/1,Latgale,Latgale,Rēzekne,2025,4,10
Zeme,"Verpuļeva 551, Verpuļeva, Balvu pag., Balvu nov.",2025-10-07,758,758,758,,2 000,3,2.64,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Mednieku iela 13, Lielvārde, Ogres nov.",2025-10-07,5 000,5 000,5 000,,26 000,5,5.2,-,Privātmājām,,1/1,Pierīga,Pierīga,Ogre,2025,4,10
Zeme,"Taremas, Spuņciems, Salas pag., Mārupes nov.",2025-10-07,4 233,12 700,4 233,,26 900,6,6.35,-,Privātmājām,,4233/12700,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Līvas iela 3, Ozolnieki, Ozolnieku pag., Jelgavas nov.",2025-10-07,979,979,979,,85 000,87,86.82,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Zeme,"Rītupes iela 8, Spilve, Babītes pag., Mārupes nov.",2025-10-07,1 428,1 428,1 428,,57 000,40,39.92,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Priedkalnu iela 31, Dreiliņi, Stopiņu pag., Ropažu nov.",2025-10-07,615,1 229,615,,14 000,23,22.78,-,Privātmājām,,1/2,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Priedkalnu iela 44, Dreiliņi, Stopiņu pag., Ropažu nov.",2025-10-07,463,926,463,,15 000,32,32.4,-,Privātmājām,,1/2,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Priedkalnu iela 46, Dreiliņi, Stopiņu pag., Ropažu nov.",2025-10-07,620,1 240,620,,15 000,24,24.19,-,Privātmājām,,1/2,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Zemgales iela 1, Kandava, Tukuma nov.",2025-10-07,1 210,1 210,1 210,,5 000,4,4.13,-,Privātmājām,,1/1,Zemgale,Zemgale,Kandava,2025,4,10
